nohup: ignoring input
/home/ubuntu/telegram_project/bot.py:176: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  conv = ConversationHandler(
2025-12-27 05:37:40,320 | INFO | root | 🤖 Bot is starting (polling)...
2025-12-27 05:37:40,804 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getMe "HTTP/1.1 200 OK"
2025-12-27 05:37:40,805 | INFO | telegram.ext.Application | Application started
2025-12-27 05:37:40,964 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/deleteWebhook "HTTP/1.1 200 OK"
2025-12-27 05:37:51,445 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:01,608 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:11,768 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:21,930 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:32,092 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:42,260 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:38:52,430 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:39:02,591 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:39:12,750 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:39:22,912 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:39:33,072 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:39:43,232 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
